"station_id","lon","lat","block","true_mu","true_log_sigma","true_xi","true_rl","joint_mu","joint_log_sigma","joint_xi","joint_rl","joint_rl_se","joint_lpd","noaa_mu","noaa_log_sigma","noaa_xi","noaa_rl","noaa_rl_se","noaa_lpd"
"8410140",-66.982315,44.9033,"New England",3.96170501541161,-2.32099106953143,0.0719270753713605,4.49701609805678,3.14235850287281,-2.70737718916035,0.00374697365959731,3.45190166239699,0.10006079135887,-62.1389586977334,1.08511635375529,-2.04122474094889,0.172122107931171,1.99607710427332,0.272217612435224,-79.3323560609701
"8413320",-68.203,44.393,"New England",2.5071298805361,-2.27605044900374,-0.179413016479682,2.82874408351537,2.37019214772033,-2.49922189522466,0.0281676376310331,2.77366502683816,0.094037652266919,-5.73629037350979,1.11653489560753,-2.04417178572011,0.166944971938042,2.01268924485188,0.269924141419523,-5.66960417722373
"8418150",-70.245674,43.6567,"New England",2.2443953016509,-2.21137064275567,-0.265454997411526,2.53538406478381,2.15406078340646,-2.39473984884912,0.0157829926244722,2.5891825280396,0.107764250222835,-7.26956236742391,1.18061687805592,-2.04832092912299,0.157080104620514,2.05060622231751,0.263261631733808,-23.4340096443765
"8443970",-71.03838,42.35392,"New England",2.32470480029127,-1.85405117165046,-0.0603657226459314,2.95372171161588,1.87624394535129,-2.26240114858495,0.0131415960283888,2.36989149278328,0.130766979888187,-18.9243830328856,1.26022042176397,-2.05268165676608,0.144978457945638,2.09995692953052,0.251095599738982,-16.3239674346782
"8447930",-70.6717,41.5233,"New England",0.966197094614088,-1.84537577484518,-0.0618659210004048,1.59861122024636,1.34351198853898,-2.09687394043922,0.0285431364274726,1.9473703516278,0.107859462994712,-7.29979457128016,1.28101617215433,-2.05678739160954,0.140445689226527,2.1077014739002,0.248263291749312,-42.6918810131742
"8449130",-70.091286,41.285,"New England",1.09961562403123,-1.79941723703141,0.0238204635940543,1.9037093861748,1.38928770646121,-2.14937665868529,0.0262442019401472,1.95917477010873,0.142843923570258,-1.85506382409327,1.26180611490473,-2.05781814746266,0.14243007026283,2.09182549071107,0.252618746731889,-22.6049361359016
"8461490",-72.0867,41.355,"New England",1.06763214183091,-1.77803366666162,-0.0562527831604072,1.75249136782459,1.21901890094294,-2.03536794838035,0.0484203931466912,1.89213173183112,0.106782888639375,-2.61204961974939,1.3553827726577,-2.05517526947782,0.131445054632422,2.16469945384905,0.227050287258345,-45.8203897891203
"8467150",-73.1817,41.1733,"New England",1.83781837954045,-1.77078781327017,0.104398438931716,2.84284764907904,1.7852535493522,-2.07911380779054,0.0431666310953221,2.4215465275577,0.114502083685272,-3.19423238608903,1.41830936183562,-2.04926282064918,0.125602464524073,2.22050122099753,0.19780665864533,-5.71969520772443
"8510560",-71.965,41.048,"New England",1.01084076509174,-1.77757058856742,-0.0837201587368776,1.65624914362707,1.21236527362678,-2.02963228768068,0.0470711772736596,1.887175714969,0.138052237943598,-3.12320193845752,1.36426747884194,-2.05808515273579,0.128980731377459,2.16622028922602,0.225444554054107,-56.4974998015666
"8518750",-74.0142,40.699296,"Mid-Atlantic",1.4791807764172,-1.86150779182997,0.225351957174648,2.73437460356185,1.81894013790621,-1.84560542994677,0.0251091146971679,2.58906084611179,0.246451076199816,-3.01717499344362,1.70941232899942,-1.93409810150448,0.0347715268417292,2.43052028445896,0.478648528406205,0.137554846976384
"8531680",-74.01,40.4667,"Mid-Atlantic",1.54720391045569,-1.83321575780827,0.10535221190442,2.49364947892843,1.6396519608642,-1.84208216865126,0.0173913027659591,2.39867324366749,0.238650436048286,2.69252291738234,1.64523061062414,-1.93748368614223,0.0337956327680063,2.36224769432816,0.506496689633934,1.80004722456833
"8534720",-74.418,39.354,"Mid-Atlantic",1.44396300278716,-2.07241456210215,0.0189337148318628,2.04900294895093,1.3800836764579,-1.89936885353319,-0.0192901192151698,2.03889325074791,0.174129112534306,3.08007736981077,1.46468432820399,-1.97525612569911,0.0292600293823147,2.14778546163246,0.620883662917989,1.66285301586439
"8536110",-74.961929,38.968652,"Mid-Atlantic",1.54758484068488,-1.97891154698578,-0.226939244913419,1.94221928906724,1.566002309573,-1.95323810177409,-0.0221549093404634,2.18622632261627,0.194011746792923,-0.055913323052442,1.45199623649627,-1.99516968417636,0.0293276311031475,2.12173540954016,0.642209205909005,-1.5722158021437
"8557380",-75.11916,38.785756,"Mid-Atlantic",1.4642818834346,-1.87505028110084,0.0142421556401361,2.19332334405511,1.39598701902403,-1.92778318511043,-0.0192645011284062,2.03637758675199,0.219578139448411,3.40361467581656,1.43998000345756,-2.00153033335143,0.0291844827835235,2.10524872968723,0.643893133894462,1.40772420383689
"8635750",-76.46444,37.99611,"Mid-Atlantic",0.761057332193669,-2.03938064309671,0.148626305842147,1.62001251279197,0.541730462432305,-1.96329792258902,-0.0275886358059979,1.14826471225611,0.176535278292074,-1.25815855345027,1.41298950645503,-2.03350181210469,0.0335894228499087,2.06404507397397,0.633928006921993,0.513997896937073
"8651370",-75.74667,36.18333,"Southeast",1.25776420303881,-1.89173304444596,-0.154905080787629,1.75391822197645,1.04452697126364,-1.89039242563982,0.125599386032092,1.98483775470086,0.251711819811707,-7.55651584918774,0.996423504885711,-2.00322334816281,0.102205556982837,1.78868748174225,0.630192200750876,-6.51953147664361
"8656483",-76.671,34.72,"Southeast",1.04667789794721,-1.89285974814239,-0.105420196059057,1.59578295878893,0.813155038431577,-1.9840883014502,0.125604034633601,1.66937412150372,0.244232790849159,-6.52432009311971,1.08318252154674,-2.00262715223965,0.114776844728295,1.90113226671496,0.718228510334932,-4.29596669232919
"8661070",-78.916384,33.655,"Southeast",1.4933880468815,-2.35889390106172,0.138811127748386,2.10198622059308,1.30431477544313,-1.90918044276556,0.237861838125603,2.54220214765669,0.38431897401628,-2.10194170487042,1.21283309059747,-2.0160578704588,0.122344449687848,2.03533486547045,0.718219835842114,-3.82595711162942
"8665530",-79.922178,32.7817,"Southeast",1.44253504453671,-2.13127560550379,0.170478189433395,2.27149867636209,1.45703807986508,-2.03484166857068,0.219488001231924,2.49598513897036,0.332735748067959,3.36793218146882,1.31370151432386,-2.0338062380085,0.120884370637689,2.11877412590821,0.67294042334917,1.04995358167947
"8670870",-80.9017,32.034612,"Southeast",1.7128312244527,-2.36144625089687,0.25501552165278,2.53805119195347,1.80793806215252,-2.14424319280784,0.189311561802861,2.66750971808453,0.257467718754083,-0.0521038812198618,1.40612558470917,-2.05933688949866,0.114729851516422,2.17888951487627,0.578941032982816,-6.89687845224053
"8720030",-81.466768,30.6717,"Florida",1.58030538997677,-2.26641222644354,0.0773023402006607,2.15308228624752,1.65678755826068,-2.03956032963814,0.193661268095173,2.62221586389377,0.247303952619296,0.0113241448779302,1.52846410469063,-2.08541653522483,0.146645778321814,2.34462685571548,0.576986161003122,0.93992551480702
"8723970",-81.105,24.7138,"Florida",0.444024048084163,-2.50933332623814,0.265641860680965,1.17689510251845,0.581828718897496,-1.86660513073132,0.133573941142223,1.56437891769766,0.343724455810425,-23.4726054272426,1.36033697671269,-2.01614760203558,0.163778257619143,2.27443564539956,0.863131240022105,-17.8056814451492
"8724580",-81.817,24.549,"Florida",0.574638540306016,-2.7117905027156,0.295023047316708,1.22415482839913,0.662428148326157,-1.88449003244324,0.143188453608024,1.65144475918076,0.422820764332263,-32.5272901991678,1.3339189233278,-2.0122697267835,0.16927255074715,2.26472555728523,0.862913419267036,-31.0330434376631
"8725110",-81.8106,26.13167,"Florida",0.80054002051611,-1.97056618875249,0.128436381755568,1.67463920260702,0.893294928590131,-2.00896167150448,0.112872015911522,1.70221856734511,0.16933683705691,4.25717112570924,1.32530107493351,-2.01302771552679,0.174146938941352,2.26726395658355,0.832975477568012,1.43612792751073
"8727520",-83.03089,29.1306,"Florida",1.11890755006504,-1.75025801780441,0.360820047840292,3.16925754171739,1.05745406127116,-1.7958154936595,0.252387274547886,2.49988565850386,0.372151906718653,2.75033786015662,1.27505361677479,-2.01489948020248,0.193198716497427,2.26338006330779,0.717229203283046,-0.730564419260142
"8729840",-87.212,30.4015,"Gulf Coast",0.642119571253223,-1.94564897396823,0.523177404721235,3.39995274504879,0.703952575420613,-2.25382609239593,0.202864521850726,1.50238328148061,0.189418879769212,-8.71284607368649,1.38771560425848,-2.07339031132387,0.0504173396988843,2.03881193948605,0.773446901671441,-216257.524470779
"8735180",-88.0732,30.25,"Gulf Coast",0.65298128968712,-1.99354522194388,0.503593436097248,3.12548411519023,0.656769153325637,-2.26189337031858,0.207797402308446,1.4592331873302,0.127753925569496,-20.1417064458828,1.39951163426588,-2.07768627172289,0.0491991952297388,2.04593388344095,0.807506179069593,-208266.327780101
"8761724",-89.94894,29.26333,"Gulf Coast",0.450270157307155,-1.60351463193264,0.266156090959444,2.26593421137303,0.620095709414263,-2.10047858554404,0.251276078465924,1.68047704721159,0.253094997971551,-8.48666972179642,1.41564961237369,-2.0824150078839,0.0478055806817777,2.05688696552318,0.859565824833012,-9142.60278639072
"8775870",-97.2167,27.58,"Gulf Coast",0.759141284746936,-1.84264356527918,0.196208349321353,1.94261728158993,0.787291415951724,-2.2230099492204,0.0635391597287912,1.36584783492432,0.180190796790811,-3.36182158007227,1.56511258326813,-2.09329540777103,0.0427247014326007,2.19178729001393,0.935774213890197,-7567.7848298806
