"n_adcirc","station_id","lon","lat"
5,"26",-87.007176,30.343979
5,"44",-80.300302,25.387499
5,"58",-79.082938,33.456355
5,"9",-95.232775,28.952658
5,"99",-67.323142,44.645605
10,"26",-87.007176,30.343979
10,"3",-97.05,25.890136
10,"44",-80.300302,25.387499
10,"53",-81.395941,30.97451
10,"58",-79.082938,33.456355
10,"77",-75.784007,37.086104
10,"85",-73.646265,40.975936
10,"9",-95.232775,28.952658
10,"94",-70.560305,43.242952
10,"99",-67.323142,44.645605
15,"26",-87.007176,30.343979
15,"3",-97.05,25.890136
15,"35",-83.205983,29.362127
15,"39",-82.538461,27.235718
15,"44",-80.300302,25.387499
15,"49",-80.533599,28.518711
15,"53",-81.395941,30.97451
15,"58",-79.082938,33.456355
15,"62",-76.512957,34.668817
15,"77",-75.784007,37.086104
15,"80",-75.43559,39.357889
15,"85",-73.646265,40.975936
15,"9",-95.232775,28.952658
15,"94",-70.560305,43.242952
15,"99",-67.323142,44.645605
25,"12",-93.206691,29.729714
25,"14",-91.831634,29.428012
25,"16",-90.402808,29.208733
25,"21",-89.188313,30.29696
25,"26",-87.007176,30.343979
25,"3",-97.05,25.890136
25,"32",-85.053933,29.530221
25,"35",-83.205983,29.362127
25,"39",-82.538461,27.235718
25,"44",-80.300302,25.387499
25,"47",-80.209359,27.297137
25,"49",-80.533599,28.518711
25,"51",-81.233104,29.74479
25,"53",-81.395941,30.97451
25,"56",-80.165169,32.556119
25,"58",-79.082938,33.456355
25,"60",-77.830178,34.132672
25,"62",-76.512957,34.668817
25,"77",-75.784007,37.086104
25,"80",-75.43559,39.357889
25,"85",-73.646265,40.975936
25,"89",-70.909679,41.527518
25,"9",-95.232775,28.952658
25,"94",-70.560305,43.242952
25,"99",-67.323142,44.645605
50,"1",-97.616839,24.645058
50,"10",-94.669877,29.40482
50,"11",-93.973753,29.669895
50,"12",-93.206691,29.729714
50,"14",-91.831634,29.428012
50,"16",-90.402808,29.208733
50,"18",-89.103282,29.10959
50,"2",-97.374908,25.26194
50,"21",-89.188313,30.29696
50,"23",-88.054639,30.243015
50,"26",-87.007176,30.343979
50,"29",-85.810354,30.155101
50,"3",-97.05,25.890136
50,"32",-85.053933,29.530221
50,"34",-83.664962,29.885109
50,"35",-83.205983,29.362127
50,"37",-82.841436,28.27148
50,"39",-82.538461,27.235718
50,"41",-81.833361,26.150396
50,"42",-81.328353,25.625017
50,"44",-80.300302,25.387499
50,"46",-79.996198,26.656553
50,"47",-80.209359,27.297137
50,"49",-80.533599,28.518711
50,"5",-97.332384,27.178669
50,"50",-80.938394,29.144342
50,"51",-81.233104,29.74479
50,"53",-81.395941,30.97451
50,"55",-80.768085,32.112539
50,"56",-80.165169,32.556119
50,"58",-79.082938,33.456355
50,"6",-97.07528,27.786439
50,"60",-77.830178,34.132672
50,"62",-76.512957,34.668817
50,"65",-75.696986,36.117318
50,"7",-96.536788,28.245732
50,"74",-76.292843,38.657902
50,"77",-75.784007,37.086104
50,"79",-75.041034,38.505854
50,"8",-95.89774,28.606337
50,"80",-75.43559,39.357889
50,"82",-74.449201,39.330679
50,"83",-74.051539,39.897844
50,"85",-73.646265,40.975936
50,"87",-72.161039,41.301734
50,"89",-70.909679,41.527518
50,"9",-95.232775,28.952658
50,"94",-70.560305,43.242952
50,"97",-68.84489,44.409948
50,"99",-67.323142,44.645605
75,"1",-97.616839,24.645058
75,"10",-94.669877,29.40482
75,"100",-66.740037,45.032869
75,"11",-93.973753,29.669895
75,"12",-93.206691,29.729714
75,"13",-92.475105,29.509872
75,"14",-91.831634,29.428012
75,"15",-91.128285,29.155146
75,"16",-90.402808,29.208733
75,"18",-89.103282,29.10959
75,"2",-97.374908,25.26194
75,"21",-89.188313,30.29696
75,"23",-88.054639,30.243015
75,"26",-87.007176,30.343979
75,"29",-85.810354,30.155101
75,"3",-97.05,25.890136
75,"32",-85.053933,29.530221
75,"33",-84.300462,30.019891
75,"34",-83.664962,29.885109
75,"35",-83.205983,29.362127
75,"36",-82.759116,28.882974
75,"37",-82.841436,28.27148
75,"39",-82.538461,27.235718
75,"4",-97.262717,26.539069
75,"40",-82.255488,26.648173
75,"41",-81.833361,26.150396
75,"42",-81.328353,25.625017
75,"44",-80.300302,25.387499
75,"45",-80.083682,26.01917
75,"46",-79.996198,26.656553
75,"47",-80.209359,27.297137
75,"48",-80.440921,27.917113
75,"49",-80.533599,28.518711
75,"5",-97.332384,27.178669
75,"50",-80.938394,29.144342
75,"51",-81.233104,29.74479
75,"52",-81.377195,30.387118
75,"53",-81.395941,30.97451
75,"54",-81.108494,31.611894
75,"55",-80.768085,32.112539
75,"56",-80.165169,32.556119
75,"57",-79.549504,32.946669
75,"58",-79.082938,33.456355
75,"59",-78.493739,33.849644
75,"6",-97.07528,27.786439
75,"60",-77.830178,34.132672
75,"61",-77.269422,34.564525
75,"62",-76.512957,34.668817
75,"63",-75.951647,35.095549
75,"64",-75.463779,35.519868
75,"65",-75.696986,36.117318
75,"7",-96.536788,28.245732
75,"74",-76.292843,38.657902
75,"75",-75.949808,38.055862
75,"77",-75.784007,37.086104
75,"78",-75.27254,37.950764
75,"79",-75.041034,38.505854
75,"8",-95.89774,28.606337
75,"80",-75.43559,39.357889
75,"82",-74.449201,39.330679
75,"83",-74.051539,39.897844
75,"84",-74.145342,40.521199
75,"85",-73.646265,40.975936
75,"86",-72.93341,41.229655
75,"87",-72.161039,41.301734
75,"89",-70.909679,41.527518
75,"9",-95.232775,28.952658
75,"92",-70.622691,42.101494
75,"93",-70.5806,42.663991
75,"94",-70.560305,43.242952
75,"95",-70.081525,43.751969
75,"96",-69.379873,43.965529
75,"97",-68.84489,44.409948
75,"98",-68.009485,44.372173
75,"99",-67.323142,44.645605
100,"1",-97.616839,24.645058
100,"10",-94.669877,29.40482
100,"100",-66.740037,45.032869
100,"11",-93.973753,29.669895
100,"12",-93.206691,29.729714
100,"13",-92.475105,29.509872
100,"14",-91.831634,29.428012
100,"15",-91.128285,29.155146
100,"16",-90.402808,29.208733
100,"17",-89.695245,29.304781
100,"18",-89.103282,29.10959
100,"19",-89.571709,29.598159
100,"2",-97.374908,25.26194
100,"20",-89.606837,29.977524
100,"21",-89.188313,30.29696
100,"22",-88.365912,30.099798
100,"23",-88.054639,30.243015
100,"24",-87.649718,30.239831
100,"25",-87.457308,30.276901
100,"26",-87.007176,30.343979
100,"27",-86.673516,30.38489
100,"28",-86.376991,30.363397
100,"29",-85.810354,30.155101
100,"3",-97.05,25.890136
100,"30",-85.499674,29.953865
100,"31",-85.389507,29.693693
100,"32",-85.053933,29.530221
100,"33",-84.300462,30.019891
100,"34",-83.664962,29.885109
100,"35",-83.205983,29.362127
100,"36",-82.759116,28.882974
100,"37",-82.841436,28.27148
100,"38",-82.677615,27.58589
100,"39",-82.538461,27.235718
100,"4",-97.262717,26.539069
100,"40",-82.255488,26.648173
100,"41",-81.833361,26.150396
100,"42",-81.328353,25.625017
100,"43",-80.828007,25.144702
100,"44",-80.300302,25.387499
100,"45",-80.083682,26.01917
100,"46",-79.996198,26.656553
100,"47",-80.209359,27.297137
100,"48",-80.440921,27.917113
100,"49",-80.533599,28.518711
100,"5",-97.332384,27.178669
100,"50",-80.938394,29.144342
100,"51",-81.233104,29.74479
100,"52",-81.377195,30.387118
100,"53",-81.395941,30.97451
100,"54",-81.108494,31.611894
100,"55",-80.768085,32.112539
100,"56",-80.165169,32.556119
100,"57",-79.549504,32.946669
100,"58",-79.082938,33.456355
100,"59",-78.493739,33.849644
100,"6",-97.07528,27.786439
100,"60",-77.830178,34.132672
100,"61",-77.269422,34.564525
100,"62",-76.512957,34.668817
100,"63",-75.951647,35.095549
100,"64",-75.463779,35.519868
100,"65",-75.696986,36.117318
100,"66",-75.93488,36.746117
100,"67",-76.292435,36.988941
100,"68",-76.281949,37.533299
100,"69",-76.372025,38.016785
100,"7",-96.536788,28.245732
100,"70",-76.356585,38.198527
100,"71",-76.516888,38.645412
100,"72",-76.257868,39.240281
100,"73",-76.280555,39.142684
100,"74",-76.292843,38.657902
100,"75",-75.949808,38.055862
100,"76",-76.043547,37.405067
100,"77",-75.784007,37.086104
100,"78",-75.27254,37.950764
100,"79",-75.041034,38.505854
100,"8",-95.89774,28.606337
100,"80",-75.43559,39.357889
100,"81",-74.913485,39.089183
100,"82",-74.449201,39.330679
100,"83",-74.051539,39.897844
100,"84",-74.145342,40.521199
100,"85",-73.646265,40.975936
100,"86",-72.93341,41.229655
100,"87",-72.161039,41.301734
100,"88",-71.403298,41.428029
100,"89",-70.909679,41.527518
100,"9",-95.232775,28.952658
100,"90",-70.197949,41.600222
100,"91",-70.141163,41.795821
100,"92",-70.622691,42.101494
100,"93",-70.5806,42.663991
100,"94",-70.560305,43.242952
100,"95",-70.081525,43.751969
100,"96",-69.379873,43.965529
100,"97",-68.84489,44.409948
100,"98",-68.009485,44.372173
100,"99",-67.323142,44.645605
